Date,Customer ID (evar6),Orders,Revenue
1-Sep-22,09415aed9740fa73f80c8eed6566d49b,1,59900
1-Sep-22,0c559ab0e9fe2695d4f0e78205a47b5f,1,74893
1-Sep-22,10416cea02008e353aac5305de8caba4,1,16990
1-Sep-22,10637f6e9164900d019b1e07c94b50ad,6,419994
1-Sep-22,12cef843674e289904dff74c27d205a0,11,394666
1-Sep-22,155d94c021193718653497aead98992d,2,627980
1-Sep-22,16a0338ae981d499061bce28f0c8cbf7,22,591375
1-Sep-22,192a59854ebb87ddcd85da0f48a5cef1,3,95358
1-Sep-22,1d95f7999395d8564103616df13afe63,35,1079443
1-Sep-22,1dbda7b3cac5df1d7ece770d8d5833c6,26,705804
1-Sep-22,214570a0bcd379d4c0d6c80395029d70,1,22999
1-Sep-22,226f81e86b66b14913ff1b6f549299fe,1,31050
1-Sep-22,23662ed187995774d1e73aea72f7d7dc,1,4
1-Sep-22,2413f71761e322b3bf332a42efd6a87d,3,125390
1-Sep-22,2936e1c954d937be50759f3acded8dc7,2,7776
1-Sep-22,29d425420b8054c029893c626de737c1,14,897137.74
1-Sep-22,2ba57cac09b6bac873111252ed39618d,4,32107.25
1-Sep-22,2ccd85d8596c648375ab705aded56270,1,18500
1-Sep-22,308d219e69c5670b1a88152773756db2,4,215077
1-Sep-22,3e0faed741af8a10d10513b21a196eac,1,50790
1-Sep-22,4081fb9adc32e94c03a02ff3213bceaa,1,50790
1-Sep-22,5e2f76d61e86c8e2a79139f1bb9368f5,5,469760
1-Sep-22,63529842c1a19e946759fca5a06c543a,26,849325
1-Sep-22,65a4b5ce3082f37ba8a6b6f9c49f2f16,1,19990
1-Sep-22,69f1ebfe68f8f0b471d6a41d70df9644,3,290067
1-Sep-22,6a7f4df625257d9c8645bee1b95eef02,20,657462
1-Sep-22,6d6b1246c504a32542528ba9bf0aefea,5,150478
1-Sep-22,7cf2e60c32fb624bf64496fda0bbb62e,7,347100
1-Sep-22,8064e9721187d7d3d513ba68ba7ea81e,19,674326
1-Sep-22,814d14e870f225ef55167102018d6cc6,19,506191
1-Sep-22,8602cebbfd5d234362184ecc00fac72d,32,1073521
1-Sep-22,88a8920911490138b30606a94555cf39,10,133327
1-Sep-22,8a50ff49ceb26fb523eeaf5cbe69cc50,3,174700
1-Sep-22,8e4a091e77cf2b107b7c5a4fa55e8502,3,243494
1-Sep-22,9055e6b4501e4e007a906eb8f8a53c12,2,77980
